Element	MassNumber	N1def	N3def	N5def	N10def	N20def	N40def	N100Ldef	N100def	N100Hdef	N150def	N200def	N300Cdef	N1600def	N1600Cdef
Ti	49	5.30E-07	1.37E-06	2.68E-06	3.37E-06	5.60E-06	6.70E-06	5.76E-06	7.14E-06	8.07E-06	7.78E-06	7.66E-06	7.48E-06	7.06E-06	6.83E-06
Ti	50	2.09E-08	4.41E-08	1.24E-07	1.30E-07	3.30E-07	1.57E-07	5.04E-11	2.54E-07	1.01E-04	1.56E-07	4.38E-08	1.23E-06	3.40E-10	5.28E-10
V	50	1.90E-10	5.01E-10	9.42E-10	1.21E-09	2.42E-09	2.53E-09	6.23E-10	2.99E-09	3.00E-08	2.99E-09	2.57E-09	4.22E-09	2.09E-09	2.60E-09
V	51	2.89E-06	7.61E-06	1.50E-05	1.92E-05	3.13E-05	3.96E-05	2.79E-05	4.26E-05	9.92E-05	4.58E-05	4.76E-05	4.44E-05	4.65E-05	4.35E-05
Cr	50	1.00E-05	3.04E-05	5.40E-05	7.40E-05	1.30E-04	1.61E-04	1.04E-04	1.74E-04	2.02E-04	1.91E-04	2.02E-04	1.87E-04	2.10E-04	1.96E-04
Cr	52	2.37E-04	6.06E-04	1.28E-03	1.58E-03	2.59E-03	3.19E-03	2.45E-03	3.50E-03	7.18E-03	3.73E-03	3.75E-03	3.72E-03	3.54E-03	3.61E-03
Cr	53	4.43E-05	1.18E-04	2.40E-04	3.08E-04	4.92E-04	6.45E-04	3.95E-04	7.04E-04	1.01E-03	7.53E-04	8.07E-04	7.15E-04	8.41E-04	8.22E-04
Cr	54	7.65E-07	1.68E-06	4.18E-06	4.72E-06	1.04E-05	7.31E-06	7.15E-08	1.07E-05	1.24E-03	8.28E-06	4.65E-06	3.18E-05	2.88E-06	3.75E-06
Mn	55	6.89E-04	1.76E-03	3.67E-03	4.61E-03	7.04E-03	9.47E-03	5.94E-03	1.02E-02	1.13E-02	1.09E-02	1.18E-02	9.90E-03	1.19E-02	1.08E-02
Fe	54	4.33E-03	1.30E-02	2.50E-02	3.35E-02	5.30E-02	7.36E-02	3.40E-02	8.02E-02	8.38E-02	8.62E-02	9.98E-02	8.03E-02	1.07E-01	9.15E-02
Fe	56	3.53E-02	7.56E-02	1.62E-01	1.89E-01	2.75E-01	3.50E-01	3.27E-01	3.72E-01	3.82E-01	3.97E-01	3.91E-01	3.55E-01	3.65E-01	3.46E-01
Fe	57	1.30E-03	2.82E-03	5.77E-03	6.88E-03	9.83E-03	1.26E-02	1.03E-02	1.34E-02	1.34E-02	1.43E-02	1.44E-02	1.26E-02	1.38E-02	1.22E-02
Fe	58	5.69E-06	1.18E-05	3.01E-05	3.32E-05	7.17E-05	5.22E-05	8.57E-08	7.86E-05	5.07E-03	5.98E-05	2.75E-05	2.11E-04	6.80E-06	8.43E-06
Co	59	2.82E-05	7.82E-05	1.31E-04	1.84E-04	2.92E-04	3.74E-04	9.01E-05	4.25E-04	7.76E-04	4.65E-04	5.16E-04	4.72E-04	6.07E-04	6.05E-04
Ni	58	4.55E-03	1.16E-02	2.22E-02	2.85E-02	4.20E-02	5.57E-02	3.21E-02	6.01E-02	5.91E-02	6.47E-02	7.09E-02	5.85E-02	7.28E-02	6.03E-02
