,Ia_table,cc_table,r_Ia,r_Ia_err_n,r_Ia_err_p,r_cc,r_cc_err_n,r_cc_err_p,chisq,dof,Total_cont_N,Ia_cont_N,cc_cont_N,Total_cont_O,Ia_cont_O,cc_cont_O,Total_cont_Ne,Ia_cont_Ne,cc_cont_Ne,Total_cont_Mg,Ia_cont_Mg,cc_cont_Mg,Total_cont_Si,Ia_cont_Si,cc_cont_Si,Total_cont_S,Ia_cont_S,cc_cont_S,Total_cont_Ar,Ia_cont_Ar,cc_cont_Ar,Total_cont_Ca,Ia_cont_Ca,cc_cont_Ca,Total_cont_Fe,Ia_cont_Fe,cc_cont_Fe,Total_cont_Ni,Ia_cont_Ni,cc_cont_Ni
30,Fink_2013_N20def.txt,Nomoto_2013_0.008.txt,0.40461785287020635,0.01613136571791035,0.017230402624951957,0.5953821471297936,0.017230402624951957,0.01613136571791035,58.77433772508968,8.0,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443,0.08020883451224443
31,Fink_2013_N100def.txt,Nomoto_2013_0.004.txt,0.41628993873549414,0.016159314615466713,0.017252381286065155,0.5837100612645059,0.017252381286065155,0.016159314615466713,62.05859058738936,8.0,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788,0.0511429955739788
32,Fink_2013_N3def.txt,Nomoto_2013_0.004.txt,0.4365410581696896,0.016119545968840188,0.017169557722224116,0.5634589418303104,0.017169557722224116,0.016119545968840188,59.85913046958623,8.0,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924,0.04731837415246924
33,Fink_2013_N1def.txt,Nomoto_2013_0.004.txt,0.44275738194388203,0.01643184163845468,0.0175248274720195,0.557242618056118,0.0175248274720195,0.01643184163845468,73.15681341174076,8.0,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175,0.03565153068950175
34,Seitenzahl_2013_N10.txt,Nomoto_2013_0.004.txt,0.39073505389825547,0.016153453605832313,0.01726493463698503,0.6092649461017445,0.01726493463698503,0.016153453605832313,56.32344765506175,8.0,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019,0.12095526618246019
35,Fink_2013_N1600Cdef.txt,Nomoto_2013_0.004.txt,0.4284792141128427,0.01662030138812204,0.017631205358971225,0.5715207858871574,0.017631205358971225,0.01662030138812204,45.22920763144004,8.0,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024,0.21119624200461024
36,Seitenzahl_2013_N100.txt,Nomoto_2013_0.004.txt,0.5743402703581335,0.02015085935769012,-0.020150859729220483,0.4256597296418665,-0.020150859729220483,0.02015085935769012,137.9120783505314,8.0,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746,0.06566411038414746
37,Seitenzahl_2013_N1600C.txt,Nomoto_2013_0.004.txt,0.5907198705522548,0.020177286545027484,-0.02017728489075432,0.40928012944774517,-0.02017728489075432,0.020177286545027484,146.2081367968746,8.0,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015,0.04104486683020015
38,Fink_2013_N5def.txt,Nomoto_2013_0.004.txt,0.6154829545288903,0.01987736087171832,-0.019877360871806693,0.38451704547110965,-0.019877360871806693,0.01987736087171832,151.40540379731084,8.0,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163,0.03717155823495163
39,Fink_2013_N40def.txt,Nomoto_2013_0.004.txt,0.6292063101963947,0.02056905468411685,-0.02056905379021423,0.3707936898036053,-0.02056905379021423,0.02056905468411685,168.77802543157208,8.0,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316,0.027104352451272316
